Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount
0229,None,Closed Won,Corporate,91367,Q4-2018,11/19/2018,500
0230,None,Closed Won,Corporate,91106,Q3-2017,8/7/2017,1000
0231,None,Closed Won,Corporate,91311,Q4-2018,10/8/2018,250
0234,None,Closed Won,Household,91302,Q3-2018,8/13/2018,250
0235,None,Closed Won,Household,60022,Q4-2017,12/18/2017,1000
0236,None,Closed Won,Household,60613,Q3-2014,9/12/2014,1000
0243,None,Closed Won,Household,90015,Q2-2016,5/17/2016,200
0243,None,Closed Won,Household,90015,Q2-2017,4/27/2017,100
0243,None,Closed Won,Household,90015,Q3-2017,9/7/2017,1000
0247,None,Closed Won,Household,90402,Q4-2016,10/13/2016,1000
0247,None,Closed Won,Household,90402,Q4-2017,12/15/2017,1000
0249,None,Closed Won,Household,90049,Q3-2018,9/4/2018,1000
0254,None,Closed Won,Household,90049,Q4-2016,12/15/2016,1000
0258,None,Closed Won,Household,,Q2-2020,6/24/2020,1000
0260,None,Closed Won,Household,90272,Q4-2017,12/31/2017,500
0261,None,Closed Won,Household,90077,Q3-2018,9/24/2018,1000
0262,None,Closed Won,Household,30005,Q4-2018,12/17/2018,1000
0271,None,Closed Won,Corporate,,Q2-2022,4/7/2022,1500
0271,None,Closed Won,Corporate,,Q2-2021,6/10/2021,1000
0271,None,Closed Won,Corporate,,Q4-2020,10/22/2020,1000
0272,None,Closed Won,Corporate,91356,Q3-2020,9/9/2020,250
0273,None,Closed Won,Corporate,44114,Q3-2018,8/14/2018,1000
0276,None,Closed Won,Household,90036,Q1-2017,2/27/2017,1000
0277,None,Closed Won,Household,,Q4-2018,10/22/2018,1000
0284,None,Closed Won,Household,90067,Q1-2017,1/30/2017,1000
0286,None,Closed Won,Household,22302,Q3-2016,9/19/2016,250
0288,None,Closed Won,Household,91301,Q1-2016,1/6/2016,100
0288,None,Closed Won,Household,91301,Q2-2022,4/14/2022,80
0289,None,Closed Won,Household,91360,Q1-2016,1/22/2016,50
0289,None,Closed Won,Household,91360,Q2-2016,4/22/2016,200
0289,None,Closed Won,Household,91360,Q1-2017,3/13/2017,200
0289,None,Closed Won,Household,91360,Q4-2015,12/31/2015,290
0289,None,Closed Won,Household,91360,Q2-2017,4/27/2017,100
0289,None,Closed Won,Household,91360,Q1-2017,1/26/2017,0
0289,None,Closed Won,Household,91360,Q4-2015,11/30/2015,25
0289,None,Closed Won,Household,91360,Q4-2016,12/28/2016,500
